파일 시스템     크기  사용  가용 사용% 마운트위치
tmpfs           9.5G   26M  9.4G    1% /run
/dev/nvme0n1p3  272G  231G   27G   90% /
tmpfs            48G   41M   47G    1% /dev/shm
tmpfs           5.0M   20K  5.0M    1% /run/lock
efivarfs        256K  123K  129K   49% /sys/firmware/efi/efivars
/dev/sda1       916G  849G   21G   98% /mnt/sda1
/dev/nvme1n1p2  915G  820G   49G   95% /mnt/nvme0n1p2
/dev/nvme0n1p1  1.1G  6.2M  1.1G    1% /boot/efi
/dev/sdc1       932G  924G  8.2G  100% /mnt/sdc1
/dev/nvme0n1p2  643G  610G     0  100% /mnt/nvme1n1p2
tmpfs           9.5G  144K  9.5G    1% /run/user/1000
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/6e276f4db6357f9cf6abe5d335906a1a10db40ec2bd2aac2d5efd4f9ea6c1b51/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/414a7c06cec2d2495a0c2197c9a2dbdc91a6f69aa1a4d0bbf3a1f22138b436e9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/8fefd49e897b2f4e737219cc8d783b0b48d5731e24b12c370917467501f67ea4/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7e318dd41cf58cb6fd0e0a634246f2c00520de75e862f3d599051169eaaebd45/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9a65f98489a8f59f0f19392ccd83593dd9ba8c34dc4d265b4e4509e77987eab0/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7f14444d84038413b68cbedf91f1e3a7e23e5c47b10fe9b62bbbd3ea9f4eb149/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/164aeece5c9b6f13b599f7dfd28e5e30fd7afab3ba4aeca48ae9037dce30ba4d/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/f793f586b405b5a92727d1a3b591521c9f35c8d2dffa3770e24f06c9f3a34b14/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/2e81d1262629db7a16c3295b885467509b6c71dda7528a22a254b8a405172607/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/5d6e276b8387e57a963628a60299cb6e77f557cb9698ebe48318b4a60ac85372/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/41a442ee5e5bc6a8005962c7159a9470997319e4a4795a4a897b0a6d818b1924/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/c3a57293589da450acb6a36811dedcdba851415b6f26544b68f29f0dffd31e6e/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/252f1965cc74ef0ff83ef67f070e38d93fe03c50785dd09e3a9aecca4d0976e8/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/f777d9510f84af306d05d3dd579927029516ae9edfe890821496e90bee99c3fd/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/4113fe7235369792e6fc8fc8334f1a41332f91e78a3cac3b8fe8d9072d27400c/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/ddb736f45fd4d293676244ac81c878fe5bd3e54b85e758c4754332c6b62d7303/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/c2a962b9dedff55f8e32e596a84656a78fa331d4aac43fc98a316d3d10f72bf6/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3acb0881b2ee15c25c9f8b5efe825c86356b5538404378e60d8d36d702183983/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/fd5c2c30f3c7971f1077f47bf51002d3bbc35339833825cbad37a2ab5ff99d19/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/f25b446b8410c653a17ada3dd9b78a66fe195bfb333a16f752f59c1e8f708ed1/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/dae8a68d559f5550e2ba6b9cd81a02c5a0152665d07ef37502f969c6bceb8431/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/d60398374a1c79de1bc06c7b78930984907f0117c1a54dfd9e6f0fbeb69b6149/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/89b16f87f542b639979a38dbc4f2b81336a06513f8939b1e2d453d27b7eabc0d/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/516507457ac2ad75d89fc2aa188a8859e117ff586d8c3de301668969d13748ba/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7ee81cb6196b6232c2a2f2576ae5ea5a383e7249052bcb1f7305d2cd9b1b4f36/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a255afe175a54b011939adc21f894b84cc77402b9dde87116903d24c3e1a771a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/dc68ff3d68dc54d8e46924a8d5d5e3a1153bd9924c0a985bad224e67246ade3f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/b589ed46498234b0f8e18da05337a9cea15657a580bc45723b51353085979913/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/6d1860fb3b548299967d2d4a7d966661ca2bf13f8db6bac5736a049c130336a9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/d14b0f9f5085c7b7ff2970029fc224bfcf4d8abfd6c2042db9a05fadb7cc05c3/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/6368f3bfe6002b41f793af2ad52257e8e332615a20b28b18ca798cea3ef67e50/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a1acafbeb321348add755628a5ac72f22ee96aca3ab7420b2e74ff8a61afa516/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/40c631e9f6970efb6daec2e60e1005385b50f22cac31a62951a37dddb9303424/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3be07a4475e6418f2ad6f6558455a4dd5e67708d22816303067614c808102232/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/b6037c0d04ca81698e4d456f66b62b4dc80b2f6a233137a608c6d48cf42067a1/shm
